fleet_name,vehicle_count,distance_traveled_km,liters_consumed,total_co2_kg,total_fuel_cost_eur,km_per_liter
UFFICIO MEZZI,63,24520.88018798828,1746.1999755859,4365.49993896475,2619.29996337885,14.04242385226287
BOLOGNA,29,17280.95703125,2058.1,5145.25,3087.15,8.396558491448424
MENSE E RISTORAZIONE,55,12281.6904296875,930.2,2325.5,1395.3,13.203279326690495
RAFI TRASPORTO MERCI,14,12226.7099609375,3470.2000000000003,8675.5,5205.3,3.523344464566163
PULIZIE COOP ,29,10241.21411895752,540.000036621,1350.0000915525,810.0000549315,18.965210045245485
MILANO,32,10147.3994140625,1544.2,3860.5,2316.3,6.571298675082567
AMBIENTE,16,8461.560333251953,514.8999755858999,1287.24993896475,772.34996337885,16.43340597098227
PULIZIE E MENSE NORD,21,7795.0224609375,418.3,1045.75,627.45,18.635004687873536
PRATO INGOMBRANTI,16,6802.623046875,1050.3,2625.75,1575.45,6.476838090902599
KOLA-FERRANTE,13,5677.934295654297,275.7,689.25,413.55,20.59461115580086
LUCCA,24,5274.6953125,2431.7,6079.25,3647.55,2.169139002549657
VERDE,24,5241.366455078125,497.40000000000003,1243.5,746.1,10.537528056047698
TRASLOCHI ,26,5019.23828125,603.2,1508.0,904.8,8.321018370772546
UTILYA NOVENTA ,18,4925.5166015625,2085.0,5212.5,3127.5,2.3623580822841728
EDILI ,24,4825.7930908203125,356.0,890.0,534.0,13.55559856971998
PRATO EX TRACCIA,28,4679.782958984375,1900.6000000000001,4751.5,2850.9,2.4622661049060164
AMIANTO,6,4193.802734375,424.4,1061.0,636.6,9.881721805784638
MANTOVA,24,4043.4462890625,1743.9,4359.75,2615.85,2.3186227932005847
SETTORE SICUREZZA,5,3926.453125,218.3,545.75,327.45,17.986500801649107
LORRAI ,10,2521.0869140625,170.8,427.0,256.2,14.760462026127048
OFFICINA MOBILE ,4,2446.84375,319.4,798.5,479.1,7.660750626174077
CAPANNORI - ASCIT,6,2292.43798828125,431.4,1078.5,647.1,5.313949903294507
VERONICA MATERASSI ,6,2044.7421875,94.3,235.75,141.45,21.68337420466596
CREMONA,11,1960.8125,222.1,555.25,333.15,8.82851193156236
NICOLA PRATESI,5,1928.0,91.2,228.0,136.79999999999998,21.140350877192983
COSTABISSARA,5,1818.123046875,106.2,265.5,159.3,17.119802701271187
SONIA MONTAGNA ,9,1805.291030883789,110.5,276.25,165.75,16.337475392613477
NOLEGGIO PRIVATO ,1,1793.01171875,113.5,283.75,170.25,15.797460077092511
POLISTIROLO_,4,1789.765625,193.5,483.75,290.25,9.249434754521964
AMBIENTE SARTI,3,1654.09375,173.0,432.5,259.5,9.561235549132949
INGOMBRANTI MUGELLO,2,1570.5001220703125,223.5,558.75,335.25,7.026846183759788
SCARRABILI,2,1543.4248046875,407.5,1018.75,611.25,3.78754553297546
GIOVANNI MASSINI,3,1451.15625,62.599999999999994,156.5,93.89999999999999,23.18140974440895
FIRENZE FIERA,13,1379.5558471679688,111.7,279.25,167.55,12.35054473740348
FABIO FABRETTO,3,1356.546875,66.4,166.0,99.6,20.42992281626506
VENDING,3,1333.11328125,99.0,247.5,148.5,13.465790719696969
SARA PERI,3,1278.6875,67.6,169.0,101.39999999999999,18.91549556213018
SUSANNA STAURINI ,5,1273.125,40.7,101.75,61.05,31.280712530712528
UTILYA,11,1206.177978515625,111.7,279.25,167.55,10.798370443291182
AREZZO,11,1048.0703125,131.4,328.5,197.1,7.976181982496194
CARPI,10,1046.0807189941406,135.3,338.25,202.95000000000002,7.731564811486626
SORARIS,10,909.0703125,42.9,107.25,64.35,21.190450174825177
PRATO CARTA CARTONE,2,824.728515625,102.5,256.25,153.75,8.046131859756098
ELETTRICISTI,5,783.45361328125,48.9,122.25,73.35,16.021546283870144
LODI - INGOMBRANTI,1,780.376953125,98.5,246.25,147.75,7.922608661167513
FI SUD BAR VALLINA,5,673.310546875,69.89999999999999,174.75,104.85,9.632482787911304
IDRAULICI,6,645.75146484375,36.8,92.0,55.199999999999996,17.547594153362773
PRATO OVEST,1,595.8046875,747.8,1869.5,1121.7,0.7967433638673442
INGOMBR VALDISIEVE,3,528.7383422851562,101.5,253.75,152.25,5.209244751577894
VALLINA,4,521.888671875,70.8,177.0,106.19999999999999,7.371308924788136
PULIZIE PIEMONTE,1,475.40625,15.100000000000001,37.75,22.65,31.48385761589404
PONTASSIEVE,5,472.125,101.2,253.0,151.8,4.665266798418973
CONCORDIA-CARPI,4,444.818359375,41.7,104.25,62.55,10.667106939448441
DISINFESTAZIONI,2,403.2265625,32.5,81.25,48.75,12.406971153846154
ABBANDONI SPECIALI ,1,355.753173828125,48.2,120.5,72.3,7.380771241247406
CARTA E CARTONE FI,4,324.6222686767578,46.7,116.75,70.05,6.951226309994814
ALIA AREE VERDI,3,264.98687744140625,38.900000000000006,97.25,58.35,6.812001990781651
PONTASSIEVE ING,1,253.74267578125,26.799999999999997,67.0,40.2,9.46801029034515
IMPRUNETA ,1,164.53125,68.7,171.75,103.05,2.3949235807860263
LONIGO,6,106.58203125,10.9,27.25,16.35,9.778168004587156
RISTRUTTURAZIONI ,1,92.3515625,2.7,6.75,4.050000000000001,34.204282407407405
AGNO CHIAMPO,3,12.375,0.0,0.0,0.0,
Protezione Civile,1,0.0,0.0,0.0,0.0,
U.tecnico.ambiente,1,0.0,0.0,0.0,0.0,
ConsorzioOrologio,1,0.0,0.0,0.0,0.0,
CAVAGLIA,1,0.0,0.0,0.0,0.0,
CARTONGESSO,2,0.0,0.0,0.0,0.0,
WAY,11,0.0,0.0,0.0,0.0,
