fleet_name,vehicle_name,hw_code,hw_code_key,config_name,date,distance_traveled_km,liters_consumed,refuelled_liters,stolen_liters,worked_time_sec,engine_time_sec,travel_time_sec,rest_time_sec,usage_time_sec,liters_from_level,percent_drop,percent_refuel,vehicle_name_key,brand,model,fuel_type,category,engine_travel_ratio,engine_vs_travel_flag
AGNO CHIAMPO,GJ393NS,864636067997367,864636067997367,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,55.572265625,0.0,0.0,0.0,22526.0,0.0,8586.0,77814.0,25914.0,0.0,0.0,0.0,GJ393NS,,,,Default,0.0,ok
AGNO CHIAMPO,GJ393NS,864636067997367,864636067997367,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,58.6484375,0.0,0.0,0.0,15219.0,0.0,9041.0,77359.0,21970.0,0.0,0.0,0.0,GJ393NS,,,,Default,0.0,ok
AGNO CHIAMPO,GJ251NS,864636067908372,864636067908372,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,67.71875,0.0,0.0,0.0,21231.0,0.0,14543.0,71857.0,68295.0,0.0,0.0,0.0,GJ251NS,,,,Default,0.0,ok
AGNO CHIAMPO,GJ251NS,864636067908372,864636067908372,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,57.08984375,0.0,0.0,0.0,13345.0,0.0,8874.0,77526.0,59432.0,0.0,0.0,0.0,GJ251NS,,,,Default,0.0,ok
AGNO CHIAMPO,GJ251NS,864636067908372,864636067908372,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,70.73828125,0.0,0.0,0.0,16764.0,0.0,10327.0,76073.0,18468.0,0.0,0.0,0.0,GJ251NS,,,,Default,0.0,ok
AGNO CHIAMPO,GJ251NS,864636067908372,864636067908372,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,103.259765625,0.0,0.0,0.0,27804.0,0.0,18358.0,68042.0,30683.0,0.0,0.0,0.0,GJ251NS,,,,Default,0.0,ok
AGNO CHIAMPO,GJ251NS,864636067908372,864636067908372,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,71.71875,0.0,0.0,0.0,17579.0,0.0,11461.0,74939.0,41784.0,0.0,0.0,0.0,GJ251NS,,,,Default,0.0,ok
AGNO CHIAMPO,GJ251NS,864636067908372,864636067908372,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,119.513671875,0.0,0.0,0.0,38493.0,0.0,17574.0,68826.0,47756.0,0.0,0.0,0.0,GJ251NS,,,,Default,0.0,ok
AGNO CHIAMPO,FV189JH,864636067889929,864636067889929,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,27.015625,0.0,0.0,0.0,10008.0,0.0,5740.0,80660.0,11475.0,0.0,0.0,0.0,FV189JH,,,,Default,0.0,ok
AGNO CHIAMPO,FV189JH,864636067889929,864636067889929,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,46.625,0.0,0.0,0.0,13637.0,0.0,10941.0,75459.0,15001.0,0.0,0.0,0.0,FV189JH,,,,Default,0.0,ok
AGNO CHIAMPO,FV189JH,864636067889929,864636067889929,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,34.4765625,0.0,0.0,0.0,4204.0,0.0,10681.0,75719.0,20352.0,0.0,0.0,0.0,FV189JH,,,,Default,0.0,ok
AMBIENTE,GE783SC,864275070111565,864275070111565,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,27.33984375,0.2,0.0,0.0,38158.0,38159.0,3964.0,82435.0,48948.0,0.0,0.0,0.0,GE783SC,,,,Default,9.626387487386479,ok
AMBIENTE,GE783SC,864275070111565,864275070111565,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,53.9921875,0.5,0.0,0.0,39268.0,39269.0,9713.0,76687.0,44292.0,0.0,0.0,0.0,GE783SC,,,,Default,4.042932152784927,ok
AMBIENTE,GE783SC,864275070111565,864275070111565,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,42.8359375,0.4,0.0,0.0,13238.0,13239.0,4155.0,82245.0,17448.0,0.0,0.0,0.0,GE783SC,,,,Default,3.1862815884476534,ok
AMBIENTE,GE783SC,864275070111565,864275070111565,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,42.8359375,0.4,0.0,0.0,13238.0,13239.0,4155.0,82245.0,17448.0,0.0,0.0,0.0,GE783SC,,,,Default,3.1862815884476534,ok
AMBIENTE,FJ993LL,352592571410471,352592571410471,UW120-04-S-KxM2-C200-Imm,2025-09-22,65.3984375,0.0,0.0,0.0,25107.0,0.0,8693.0,77707.0,25291.0,0.0,0.0,0.0,FJ993LL,,,,Default,0.0,ok
AMBIENTE,FJ993LL,352592571410471,352592571410471,UW120-04-S-KxM2-C200-Imm,2025-09-23,80.0234375,0.0,0.0,0.0,27724.0,0.0,10859.0,75541.0,44642.0,0.0,0.0,0.0,FJ993LL,,,,Default,0.0,ok
AMBIENTE,FJ993LL,352592571410471,352592571410471,UW120-04-S-KxM2-C200-Imm,2025-09-24,67.375,0.0,0.0,0.0,55516.0,0.0,8256.0,78144.0,55517.0,0.0,0.0,0.0,FJ993LL,,,,Default,0.0,ok
AMBIENTE,FJ993LL,352592571410471,352592571410471,UW120-04-S-KxM2-C200-Imm,2025-09-25,158.609375,0.0,0.0,0.0,63607.0,0.0,17874.0,68526.0,86358.0,0.0,0.0,0.0,FJ993LL,,,,Default,0.0,ok
AMBIENTE,FJ993LL,352592571410471,352592571410471,UW120-04-S-KxM2-C200-Imm,2025-09-26,80.7890625,0.0,0.0,0.0,50603.0,0.0,10624.0,75776.0,57272.0,0.0,0.0,0.0,FJ993LL,,,,Default,0.0,ok
AMBIENTE,FJ993LL,352592571410471,352592571410471,UW120-04-S-KxM2-C200-Imm,2025-09-27,37.6015625,0.0,0.0,0.0,3301.0,0.0,2505.0,83895.0,3322.0,0.0,0.0,0.0,FJ993LL,,,,Default,0.0,ok
AMBIENTE,FH251GA,864275070158830,864275070158830,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,24.2265625,0.3,0.0,0.0,47173.0,47174.0,26546.0,59854.0,47174.0,0.0,0.0,0.0,FH251GA,,,,Default,1.7770662246666165,ok
AMBIENTE,FF704SR,864275070109262,864275070109262,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,23.96875,0.0,0.0,0.0,45077.0,45078.0,5594.0,80806.0,46456.0,0.0,0.0,0.0,FF704SR,,,,Default,8.058276725062568,ok
AMBIENTE SARTI,GW972DC,864636066039161,864636066039161,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,305.5546875,0.0,21.3545418,0.0,19152.0,19152.0,16255.0,70145.0,30756.0,0.0,0.0,0.0,GW972DC,,,,Default,1.1782220855121501,ok
AMBIENTE SARTI,BY830LE,864275070202737,864275070202737,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,49.265625,0.0,0.0,0.0,11261.0,0.0,6688.0,79712.0,46458.0,0.0,0.0,0.0,BY830LE,,,,Default,0.0,ok
