fleet_name,vehicle_name,hw_code,hw_code_key,config_name,date,distance_traveled_km,liters_consumed,refuelled_liters,stolen_liters,worked_time_sec,engine_time_sec,travel_time_sec,rest_time_sec,usage_time_sec,liters_from_level,percent_drop,percent_refuel,vehicle_name_key,brand,model,fuel_type,category,engine_travel_ratio,engine_vs_travel_flag,valid_for_efficiency,km_per_liter,idle_time_sec,idle_ratio,fuel_type_clean,fuel_price,emission_factor,fuel_cost_per_km,co2_per_km,total_co2_kg,total_fuel_cost_eur
ABBANDONI SPECIALI ,GZ049DH,864275076198806,864275076198806,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,0.427001953125,0.0,0.0,0.0,12633.0,12633.0,0.0,53809.0,12633.0,0.0,0.0,0.0,GZ049DH,,,,Default,,ok,False,,12633.0,1.0,default,1.5,2.5,0.0,0.0,0.0,0.0
ABBANDONI SPECIALI ,GZ049DH,864275076198806,864275076198806,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,5.843017578125,0.0,0.0,0.0,7264.0,7264.0,21655.0,64745.0,30233.0,0.0,0.0,0.0,GZ049DH,,,,Default,0.3354421611637035,ok,False,,0.0,0.0,default,1.5,2.5,0.0,0.0,0.0,0.0
ABBANDONI SPECIALI ,GZ049DH,864275076198806,864275076198806,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,222.29541015625,21.3,37.27164,0.0,25761.0,25762.0,21738.0,64662.0,29797.0,0.0,0.0,0.0,GZ049DH,,,,Default,1.1851136259085473,ok,True,10.436404232687794,4024.0,0.1561990528685661,default,1.5,2.5,0.14372766391147057,0.23954610651911762,53.25,31.950000000000003
ABBANDONI SPECIALI ,GZ049DH,864275076198806,864275076198806,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GZ049DH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ABBANDONI SPECIALI ,GZ049DH,864275076198806,864275076198806,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,127.187744140625,26.9,78.91955,0.0,26849.0,26850.0,13017.0,73383.0,41044.0,0.0,0.0,0.0,GZ049DH,,,,Default,2.06268725512791,ok,True,4.728168927160781,13833.0,0.515195530726257,default,1.5,2.5,0.31724754828096535,0.528745913801609,67.25,40.349999999999994
ABBANDONI SPECIALI ,GZ049DH,864275076198806,864275076198806,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GZ049DH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ABBANDONI SPECIALI ,GZ049DH,864275076198806,864275076198806,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GZ049DH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,GJ393NS,864636067997367,864636067997367,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79140.0,0.0,0.0,0.0,0.0,GJ393NS,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,GJ393NS,864636067997367,864636067997367,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GJ393NS,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,GJ393NS,864636067997367,864636067997367,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GJ393NS,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,GJ393NS,864636067997367,864636067997367,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GJ393NS,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,GJ393NS,864636067997367,864636067997367,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GJ393NS,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,GJ251NS,864636067908372,864636067908372,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GJ251NS,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,FV189JH,864636067889929,864636067889929,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FV189JH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,FV189JH,864636067889929,864636067889929,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,12.375,0.0,0.0,0.0,5644.0,0.0,45375.0,41025.0,48904.0,0.0,0.0,0.0,FV189JH,,,,Default,0.0,ok,False,,0.0,,default,1.5,2.5,0.0,0.0,0.0,0.0
AGNO CHIAMPO,FV189JH,864636067889929,864636067889929,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FV189JH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AGNO CHIAMPO,FV189JH,864636067889929,864636067889929,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FV189JH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB329AA,864275078061143,864275078061143,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,100.462890625,17.6,0.0,0.0,33518.0,33519.0,13649.0,72751.0,33585.0,0.0,0.0,0.0,ZB329AA,,,,Default,2.4557843065426037,ok,True,5.708118785511363,19870.0,0.5927981145022226,default,1.5,2.5,0.26278359935455026,0.437972665590917,44.0,26.400000000000002
ALIA AREE VERDI,ZB329AA,864275078061143,864275078061143,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB329AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB329AA,864275078061143,864275078061143,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB329AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB329AA,864275078061143,864275078061143,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB329AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB329AA,864275078061143,864275078061143,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,80.60797119140625,12.5,34.5142822,0.0,26781.0,26781.0,11582.0,74818.0,28382.0,0.0,0.0,0.0,ZB329AA,,,,Default,2.312294940424797,ok,True,6.4486376953125,15199.0,0.5675292184757851,default,1.5,2.5,0.23260726852283026,0.3876787808713838,31.25,18.75
ALIA AREE VERDI,ZB329AA,864275078061143,864275078061143,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,79.04998779296875,8.8,0.0,0.0,20381.0,20381.0,8954.0,77446.0,22009.0,0.0,0.0,0.0,ZB329AA,,,,Default,2.276189412553049,ok,True,8.982953158291902,11427.0,0.5606692507727785,default,1.5,2.5,0.1669829479869205,0.2783049133115341,22.0,13.200000000000001
ALIA AREE VERDI,ZB329AA,864275078061143,864275078061143,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB329AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB328AA,864275076247637,864275076247637,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB328AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB328AA,864275076247637,864275076247637,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB328AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB328AA,864275076247637,864275076247637,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,4.86602783203125,0.0,0.0,0.0,7895.0,7895.0,537.0,85863.0,51109.0,0.0,0.0,0.0,ZB328AA,,,,Default,14.702048417132216,check,False,,7358.0,0.9319822672577581,default,1.5,2.5,0.0,0.0,0.0,0.0
ALIA AREE VERDI,ZB328AA,864275076247637,864275076247637,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB328AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB328AA,864275076247637,864275076247637,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB328AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB328AA,864275076247637,864275076247637,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB328AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,ZB328AA,864275076247637,864275076247637,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZB328AA,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,FK631WH,864636068522818,864636068522818,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FK631WH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,FK631WH,864636068522818,864636068522818,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FK631WH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,FK631WH,864636068522818,864636068522818,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FK631WH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,FK631WH,864636068522818,864636068522818,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FK631WH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,FK631WH,864636068522818,864636068522818,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FK631WH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,FK631WH,864636068522818,864636068522818,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FK631WH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
ALIA AREE VERDI,FK631WH,864636068522818,864636068522818,UW120-130-140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FK631WH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AMBIENTE,HA990DH,864275076246845,864275076246845,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,129.4296875,12.9,0.0,0.0,7419.0,7419.0,9366.0,77034.0,45571.0,0.0,0.0,0.0,HA990DH,,,,Default,0.7921204356181935,ok,True,10.033309108527131,0.0,0.0,default,1.5,2.5,0.14950202209211083,0.2491700368201847,32.25,19.35
AMBIENTE,HA990DH,864275076246845,864275076246845,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-23,447.26806640625,44.8,0.0,0.0,30757.0,30757.0,21443.0,64957.0,37319.0,0.0,0.0,0.0,HA990DH,,,,Default,1.4343608636851186,ok,True,9.983662196568082,9314.0,0.3028253730858016,default,1.5,2.5,0.15024546809242306,0.25040911348737177,112.0,67.19999999999999
AMBIENTE,HA990DH,864275076246845,864275076246845,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-24,680.28369140625,68.1,0.0,0.0,39110.0,39111.0,26234.0,60166.0,54855.0,0.0,0.0,0.0,HA990DH,,,,Default,1.490851566669208,ok,True,9.989481518447137,12877.0,0.3292424126204904,default,1.5,2.5,0.1501579433557203,0.2502632389262005,170.25,102.14999999999999
AMBIENTE,HA990DH,864275076246845,864275076246845,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-25,100.84619140625,10.1,0.0,0.0,10515.0,10515.0,7423.0,78977.0,39711.0,0.0,0.0,0.0,HA990DH,,,,Default,1.4165431766132293,ok,True,9.984771426361387,3092.0,0.29405611031859247,default,1.5,2.5,0.15022877699931728,0.2503812949988622,25.25,15.149999999999999
AMBIENTE,HA990DH,864275076246845,864275076246845,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-26,297.65087890625,29.8,0.0,0.0,32728.0,32729.0,16480.0,69920.0,36593.0,0.0,0.0,0.0,HA990DH,,,,Default,1.9859830097087379,ok,True,9.988284527055368,16249.0,0.49647101958507744,default,1.5,2.5,0.1501759382141082,0.250293230356847,74.5,44.7
AMBIENTE,HA990DH,864275076246845,864275076246845,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HA990DH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AMBIENTE,HA990DH,864275076246845,864275076246845,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HA990DH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
AMBIENTE,HA027DH,864275070204162,864275070204162,UW120130140-2405-S-KxM2-IMMOB-LVC-01,2025-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HA027DH,,,,Default,,ok,False,,0.0,,default,1.5,2.5,,,0.0,0.0
